k,boot,Method,Silhouette
38,7,K-Means,0.16568385649869663
38,7,HC-Ward,0.12056000325184903
38,7,CLARA,0.1273985231918957
48,7,K-Means,0.1690679134031825
48,7,HC-Ward,0.12551753084585382
48,7,CLARA,0.12839729310717143
6,8,K-Means,0.19421353614892536
6,8,HC-Ward,0.1365710426961874
6,8,CLARA,0.1737503665437294
8,8,K-Means,0.18538079090234164
8,8,HC-Ward,0.13094922163348555
8,8,CLARA,0.1535918048701684
10,8,K-Means,0.185847868586608
10,8,HC-Ward,0.13613702209993536
10,8,CLARA,0.16041733244675635
12,8,K-Means,0.170063147590553
12,8,HC-Ward,0.10054305656094965
12,8,CLARA,0.14217375133801874
15,8,K-Means,0.17366717951244207
15,8,HC-Ward,0.12145493792282228
15,8,CLARA,0.1452152744248955
19,8,K-Means,0.16557747165805528
19,8,HC-Ward,0.11718898918705759
19,8,CLARA,0.13986451093674498
24,8,K-Means,0.1715778974211972
24,8,HC-Ward,0.11329129269440771
24,8,CLARA,0.1348294101641159
30,8,K-Means,0.17014309804281563
30,8,HC-Ward,0.10931563831282523
30,8,CLARA,0.1306539222270494
38,8,K-Means,0.16703583300873534
38,8,HC-Ward,0.11292994034416297
38,8,CLARA,0.12661033453872336
48,8,K-Means,0.16764700567213534
48,8,HC-Ward,0.11832867507621948
48,8,CLARA,0.12905664438921574
6,9,K-Means,0.19426477371139533
6,9,HC-Ward,0.12973962837077396
6,9,CLARA,0.1707413501193071
8,9,K-Means,0.1850664702009697
8,9,HC-Ward,0.12783058398594146
8,9,CLARA,0.1557806374726221
10,9,K-Means,0.185847868586608
10,9,HC-Ward,0.13613702209993536
10,9,CLARA,0.16041733244675635
12,9,K-Means,0.16910918326533017
12,9,HC-Ward,0.12590569992265846
12,9,CLARA,0.14221022799150695
15,9,K-Means,0.17062427901357233
15,9,HC-Ward,0.11996716737938058
15,9,CLARA,0.14380812314436325
19,9,K-Means,0.16771684556242947
19,9,HC-Ward,0.10951868556329489
19,9,CLARA,0.13933351459734264
24,9,K-Means,0.1729617448107659
24,9,HC-Ward,0.11930902171471752
24,9,CLARA,0.1376552874956542
30,9,K-Means,0.17014309804281563
30,9,HC-Ward,0.10931563831282523
30,9,CLARA,0.1306539222270494
38,9,K-Means,0.16703583300873534
38,9,HC-Ward,0.11292994034416297
38,9,CLARA,0.12661033453872336
48,9,K-Means,0.16764700567213534
48,9,HC-Ward,0.11832867507621948
48,9,CLARA,0.12905664438921574
6,10,K-Means,0.19185825474739762
6,10,HC-Ward,0.11828468197609057
6,10,CLARA,0.1723906664871938
8,10,K-Means,0.18538079090234164
8,10,HC-Ward,0.13094922163348555
8,10,CLARA,0.1535918048701684
10,10,K-Means,0.18597393530638653
