k,boot,Method,Silhouette
5,20,HC-Ward,0.18153433436984445
5,20,CLARA,0.22109164621054503
6,20,K-Means,0.24899961263500006
6,20,HC-Ward,0.17136972535097966
6,20,CLARA,0.2167501409688062
8,20,K-Means,0.25815083491551005
8,20,HC-Ward,0.18483671682863195
8,20,CLARA,0.20191706281473532
10,20,K-Means,0.22514239616523876
10,20,HC-Ward,0.2056171154871304
10,20,CLARA,0.1896350237157097
12,20,K-Means,0.22374003003699014
12,20,HC-Ward,0.18501596907114112
12,20,CLARA,0.1913178009176601
15,20,K-Means,0.2248094496937219
15,20,HC-Ward,0.16300173345689434
15,20,CLARA,0.1636471916363743
19,20,K-Means,0.22132641114160814
19,20,HC-Ward,0.1562420652966686
19,20,CLARA,0.17134266825994404
24,20,K-Means,0.21956330908275845
24,20,HC-Ward,0.17209371221169756
24,20,CLARA,0.16610834736371466
30,20,K-Means,0.213258642660649
30,20,HC-Ward,0.14885739496335681
30,20,CLARA,0.1924947592761582
38,20,K-Means,0.21184082107074495
38,20,HC-Ward,0.16512528416904598
38,20,CLARA,0.17103123998969869
48,20,K-Means,0.21162963224573353
48,20,HC-Ward,0.16748435016474356
48,20,CLARA,0.17761746798995345
3,21,K-Means,0.27280247685221576
3,21,HC-Ward,0.25350365253605583
3,21,CLARA,0.26793650819347753
4,21,K-Means,0.2700114570965726
4,21,HC-Ward,0.2277098445666234
4,21,CLARA,0.21629432574315968
5,21,K-Means,0.24105317492447775
5,21,HC-Ward,0.1776116528276184
5,21,CLARA,0.22362136285527537
6,21,K-Means,0.2521738758904756
6,21,HC-Ward,0.22079367135404995
6,21,CLARA,0.2132184981666109
8,21,K-Means,0.2573382671337885
8,21,HC-Ward,0.18078049110566743
8,21,CLARA,0.19977440303476604
10,21,K-Means,0.22353214750413547
10,21,HC-Ward,0.1696128828988608
10,21,CLARA,0.18884874006374247
12,21,K-Means,0.22802700884490776
12,21,HC-Ward,0.1854847285489205
12,21,CLARA,0.18943975213877448
15,21,K-Means,0.223946577133495
15,21,HC-Ward,0.16495142739755075
15,21,CLARA,0.16525724840110442
19,21,K-Means,0.2230723526489782
19,21,HC-Ward,0.16255215535330098
19,21,CLARA,0.17118716090699532
24,21,K-Means,0.21861202444913877
24,21,HC-Ward,0.14618764482949997
24,21,CLARA,0.16383709852045655
30,21,K-Means,0.2136118387424951
30,21,HC-Ward,0.1593741008332789
30,21,CLARA,0.19479770262283683
38,21,K-Means,0.2106360725808981
38,21,HC-Ward,0.164293838262495
38,21,CLARA,0.17074798471144098
48,21,K-Means,0.21399499007539216
48,21,HC-Ward,0.1554653620423282
48,21,CLARA,0.17456117195840945
3,22,K-Means,0.27511465692728965
3,22,HC-Ward,0.28231573154664324
3,22,CLARA,0.26910868789918363
4,22,K-Means,0.2674204320567408
4,22,HC-Ward,0.2042209934975603
4,22,CLARA,0.21376294229560497
5,22,K-Means,0.24180386987275257
5,22,HC-Ward,0.21731716811197804
5,22,CLARA,0.22448755827202166
6,22,K-Means,0.2516255256784367
6,22,HC-Ward,0.1900866691603949
6,22,CLARA,0.21705352657235083
8,22,K-Means,0.26038770519049975
8,22,HC-Ward,0.20497619672697523
8,22,CLARA,0.20639778695182692
10,22,K-Means,0.22473451560276014
10,22,HC-Ward,0.16194139901576482
10,22,CLARA,0.18555137701266075
12,22,K-Means,0.22630764027808312
12,22,HC-Ward,0.16226497751876845
12,22,CLARA,0.1905062149827941
15,22,K-Means,0.2233480741958697
15,22,HC-Ward,0.16670582566690562
15,22,CLARA,0.16368375225356793
19,22,K-Means,0.21846289648112585
19,22,HC-Ward,0.16392907870031873
19,22,CLARA,0.16995914569726522
24,22,K-Means,0.21956330908275845
24,22,HC-Ward,0.17209371221169756
24,22,CLARA,0.16610834736371466
30,22,K-Means,0.2136302366483609
30,22,HC-Ward,0.15895332549035215
30,22,CLARA,0.1953288303259576
38,22,K-Means,0.21184082107074495
38,22,HC-Ward,0.16512528416904598
38,22,CLARA,0.17103123998969869
48,22,K-Means,0.21162963224573353
48,22,HC-Ward,0.16748435016474356
48,22,CLARA,0.17761746798995345
3,23,K-Means,0.27280247685221576
3,23,HC-Ward,0.25350365253605583
3,23,CLARA,0.26793650819347753
4,23,K-Means,0.2729130590389954
4,23,HC-Ward,0.24522965562523066
4,23,CLARA,0.21534586205323752
5,23,K-Means,0.24392042515946125
5,23,HC-Ward,0.22085306696135332
5,23,CLARA,0.2301971677206466
6,23,K-Means,0.24899961263500006
6,23,HC-Ward,0.17136972535097966
6,23,CLARA,0.2167501409688062
8,23,K-Means,0.25815083491551005
8,23,HC-Ward,0.18483671682863195
8,23,CLARA,0.20191706281473532
10,23,K-Means,0.22514239616523876
10,23,HC-Ward,0.2056171154871304
10,23,CLARA,0.1896350237157097
12,23,K-Means,0.22374003003699014
12,23,HC-Ward,0.18501596907114112
12,23,CLARA,0.1913178009176601
15,23,K-Means,0.2248094496937219
15,23,HC-Ward,0.16300173345689434
15,23,CLARA,0.1636471916363743
19,23,K-Means,0.22132641114160814
19,23,HC-Ward,0.1562420652966686
19,23,CLARA,0.17134266825994404
24,23,K-Means,0.21861202444913877
24,23,HC-Ward,0.14618764482949997
24,23,CLARA,0.16383709852045655
30,23,K-Means,0.215957357274765
30,23,HC-Ward,0.17878795592572216
30,23,CLARA,0.19514146494074008
38,23,K-Means,0.21184082107074495
38,23,HC-Ward,0.16512528416904598
38,23,CLARA,0.17103123998969869
48,23,K-Means,0.21399499007539216
48,23,HC-Ward,0.1554653620423282
48,23,CLARA,0.17456117195840945
3,24,K-Means,0.27280247685221576
3,24,HC-Ward,0.25350365253605583
3,24,CLARA,0.26793650819347753
4,24,K-Means,0.26704953280272825
4,24,HC-Ward,0.25271194375707995
4,24,CLARA,0.21564399395595388
5,24,K-Means,0.23878230166074083
5,24,HC-Ward,0.16956424760280606
5,24,CLARA,0.22446227346373865
6,24,K-Means,0.25172850569304744
6,24,HC-Ward,0.2107581569059726
6,24,CLARA,0.2203822345578288
8,24,K-Means,0.2594562346693663
8,24,HC-Ward,0.18031685481085852
8,24,CLARA,0.20349384039272922
10,24,K-Means,0.2260908114569275
10,24,HC-Ward,0.18110580733604473
10,24,CLARA,0.187670230037844
12,24,K-Means,0.22374003003699014
12,24,HC-Ward,0.18501596907114112
12,24,CLARA,0.1913178009176601
15,24,K-Means,0.2248094496937219
15,24,HC-Ward,0.16300173345689434
15,24,CLARA,0.1636471916363743
19,24,K-Means,0.22116153902316815
19,24,HC-Ward,0.15531108265130592
19,24,CLARA,0.17097295318226086
24,24,K-Means,0.21956330908275845
24,24,HC-Ward,0.17209371221169756
24,24,CLARA,0.16610834736371466
30,24,K-Means,0.213258642660649
30,24,HC-Ward,0.14885739496335681
30,24,CLARA,0.1924947592761582
38,24,K-Means,0.21184082107074495
38,24,HC-Ward,0.16512528416904598
38,24,CLARA,0.17103123998969869
48,24,K-Means,0.21430144474296065
48,24,HC-Ward,0.15672381785111839
48,24,CLARA,0.17430529570537254
3,25,K-Means,0.2767831702729751
3,25,HC-Ward,0.2498042434172878
3,25,CLARA,0.2707975850795931
4,25,K-Means,0.26704953280272825
4,25,HC-Ward,0.25271194375707995
4,25,CLARA,0.21564399395595388
5,25,K-Means,0.23942153408318204
5,25,HC-Ward,0.1936039066086934
5,25,CLARA,0.2230286210585497
6,25,K-Means,0.24899961263500006
6,25,HC-Ward,0.17136972535097966
6,25,CLARA,0.2167501409688062
8,25,K-Means,0.26003704142834816
8,25,HC-Ward,0.21811349625006682
8,25,CLARA,0.19963648642870435
10,25,K-Means,0.22229959680657135
10,25,HC-Ward,0.17566277776543615
10,25,CLARA,0.18745580433256087
12,25,K-Means,0.22645110052533798
12,25,HC-Ward,0.14868962907933383
12,25,CLARA,0.19133674103244966
15,25,K-Means,0.2248094496937219
15,25,HC-Ward,0.16300173345689434
15,25,CLARA,0.1636471916363743
19,25,K-Means,0.22048759668222215
19,25,HC-Ward,0.1505847931242461
19,25,CLARA,0.16821441371235957
24,25,K-Means,0.21861202444913877
24,25,HC-Ward,0.14618764482949997
24,25,CLARA,0.16383709852045655
30,25,K-Means,0.215957357274765
30,25,HC-Ward,0.17878795592572216
30,25,CLARA,0.19514146494074008
38,25,K-Means,0.21184082107074495
38,25,HC-Ward,0.16512528416904598
38,25,CLARA,0.17103123998969869
48,25,K-Means,0.21162963224573353
48,25,HC-Ward,0.16748435016474356
48,25,CLARA,0.17761746798995345
