k,boot,Method,Silhouette
15,4,CLARA,0.16283690917373883
19,4,K-Means,0.2222819761847359
19,4,HC-Ward,0.15657356457563543
19,4,CLARA,0.17032815117800895
24,4,K-Means,0.21764871421922086
24,4,HC-Ward,0.16681881676493227
24,4,CLARA,0.16667960510858698
30,4,K-Means,0.215957357274765
30,4,HC-Ward,0.17878795592572216
30,4,CLARA,0.19514146494074008
38,4,K-Means,0.21278036461928104
38,4,HC-Ward,0.14766759899918241
38,4,CLARA,0.17037031021930682
48,4,K-Means,0.21615866272316647
48,4,HC-Ward,0.17465744382886536
48,4,CLARA,0.1778336026456247
3,5,K-Means,0.2767831702729751
3,5,HC-Ward,0.2498042434172878
3,5,CLARA,0.2707975850795931
4,5,K-Means,0.27415696069148054
4,5,HC-Ward,0.1572105015090537
4,5,CLARA,0.21342723534279892
5,5,K-Means,0.23648155907385457
5,5,HC-Ward,0.17488943251323164
5,5,CLARA,0.22379990112699444
6,5,K-Means,0.2464275771228103
6,5,HC-Ward,0.17284698051409553
6,5,CLARA,0.21819509148288563
8,5,K-Means,0.26003704142834816
8,5,HC-Ward,0.21811349625006682
8,5,CLARA,0.19963648642870435
10,5,K-Means,0.22229959680657135
10,5,HC-Ward,0.17566277776543615
10,5,CLARA,0.18745580433256087
12,5,K-Means,0.22645110052533798
12,5,HC-Ward,0.14868962907933383
12,5,CLARA,0.19133674103244966
15,5,K-Means,0.2223660659247199
15,5,HC-Ward,0.16963455349757325
15,5,CLARA,0.16213711850639476
19,5,K-Means,0.2230723526489782
19,5,HC-Ward,0.16255215535330098
19,5,CLARA,0.17118716090699532
24,5,K-Means,0.2169186851471775
24,5,HC-Ward,0.16330536946743243
24,5,CLARA,0.1670657808036341
30,5,K-Means,0.212418963406208
30,5,HC-Ward,0.15754463535829627
30,5,CLARA,0.19200433391987376
38,5,K-Means,0.21346735110146778
38,5,HC-Ward,0.16454701820979264
38,5,CLARA,0.17177873097045349
48,5,K-Means,0.21259634175364714
48,5,HC-Ward,0.16626093161892327
48,5,CLARA,0.17680179097312992
3,6,K-Means,0.2756081680437535
3,6,HC-Ward,0.27030100958211045
3,6,CLARA,0.2707700464474003
4,6,K-Means,0.27048376629103327
4,6,HC-Ward,0.21302705815512005
4,6,CLARA,0.2140549174821062
5,6,K-Means,0.24105317492447775
5,6,HC-Ward,0.1776116528276184
5,6,CLARA,0.22362136285527537
6,6,K-Means,0.2512197025985549
6,6,HC-Ward,0.17464107349501076
6,6,CLARA,0.2148847111623968
8,6,K-Means,0.2625562004078259
8,6,HC-Ward,0.1731234970329822
8,6,CLARA,0.20471160064671412
10,6,K-Means,0.2238968762450527
10,6,HC-Ward,0.14715440808017088
10,6,CLARA,0.19005501854351675
12,6,K-Means,0.22541431282890997
12,6,HC-Ward,0.1730160970656983
12,6,CLARA,0.18849619922747746
15,6,K-Means,0.2246993639152887
15,6,HC-Ward,0.1616474093178839
15,6,CLARA,0.16470541340934441
19,6,K-Means,0.21914294855653205
19,6,HC-Ward,0.16391473876718765
19,6,CLARA,0.17316763213458405
24,6,K-Means,0.2171853477976346
24,6,HC-Ward,0.16287099284499068
24,6,CLARA,0.1640221412708955
30,6,K-Means,0.21240488208044644
30,6,HC-Ward,0.16555965360698116
30,6,CLARA,0.1944710918322212
38,6,K-Means,0.21418911761509868
38,6,HC-Ward,0.17393535787551315
38,6,CLARA,0.17257739888437684
48,6,K-Means,0.21179837466518273
48,6,HC-Ward,0.16172952229036358
48,6,CLARA,0.17911863955500149
3,7,K-Means,0.2756081680437535
3,7,HC-Ward,0.27030100958211045
3,7,CLARA,0.2707700464474003
4,7,K-Means,0.2722356586050642
4,7,HC-Ward,0.26217404912296915
4,7,CLARA,0.21922218806508267
5,7,K-Means,0.23648155907385457
5,7,HC-Ward,0.17488943251323164
5,7,CLARA,0.22379990112699444
6,7,K-Means,0.24532435810274386
6,7,HC-Ward,0.1787017029078038
6,7,CLARA,0.20921217905646414
8,7,K-Means,0.25816450344320724
8,7,HC-Ward,0.15879075145900123
8,7,CLARA,0.20253467500265623
10,7,K-Means,0.2260908114569275
10,7,HC-Ward,0.18110580733604473
10,7,CLARA,0.187670230037844
12,7,K-Means,0.22645110052533798
12,7,HC-Ward,0.14868962907933383
12,7,CLARA,0.19133674103244966
15,7,K-Means,0.2195474901273143
15,7,HC-Ward,0.15480414844267418
15,7,CLARA,0.1681081385080032
19,7,K-Means,0.2230723526489782
19,7,HC-Ward,0.16255215535330098
19,7,CLARA,0.17118716090699532
24,7,K-Means,0.2182764707810578
24,7,HC-Ward,0.1601814499958555
24,7,CLARA,0.16864567481279197
30,7,K-Means,0.213258642660649
30,7,HC-Ward,0.14885739496335681
30,7,CLARA,0.1924947592761582
38,7,K-Means,0.21346735110146778
38,7,HC-Ward,0.16454701820979264
38,7,CLARA,0.17177873097045349
48,7,K-Means,0.21430144474296065
48,7,HC-Ward,0.15672381785111839
48,7,CLARA,0.17430529570537254
3,8,K-Means,0.27511465692728965
3,8,HC-Ward,0.28231573154664324
3,8,CLARA,0.26910868789918363
4,8,K-Means,0.27048376629103327
4,8,HC-Ward,0.21302705815512005
4,8,CLARA,0.2140549174821062
5,8,K-Means,0.24069580250741834
5,8,HC-Ward,0.20375518143720445
5,8,CLARA,0.22026357114523692
6,8,K-Means,0.24899961263500006
6,8,HC-Ward,0.17136972535097966
6,8,CLARA,0.2167501409688062
