molecule_id,bp_est,mp_est,vp_est
525013,387.99,127.55,1.54e-6
525016,488.42,207.19,4.93e-12
525020,457.52,192.76,2.27e-11
525021,533.3,212.41,1.8e-13
525022,475.69,197.28,1.72e-9
525023,746.92,327.94,1.05e-21
525024,524.63,224.1,4.79e-11
525025,635.01,275.66,1.97e-17
525026,468.53,147.51,9.68e-9
525027,540.68,231.6,6.28e-14
525029,562.75,241.91,7.09e-16
525030,473.1,177.81,3.37e-9
525031,542.28,232.35,1.57e-14
525033,561.08,241.13,3.04e-15
525035,447.78,167.64,2.4e-10
525036,508.48,216.56,2.93e-13
525037,1059.03,349.84,1.06e-33
525040,1810.04,349.84,0
525043,696.34,304.31,9.27e-20
525045,764.36,336.09,2.21e-22
525046,904.38,349.84,3.24e-26
525049,760.56,334.31,3.11e-22
525050,817.55,349.84,3.33e-25
525052,816.99,349.84,2.69e-24
525058,1677.42,349.84,0
525060,1841.25,349.84,0
525062,471.2,199.14,2.04e-11
525063,1116.06,349.84,4.86e-37
525064,823.78,349.84,2.57e-26
525065,1107.82,349.84,9.89e-37
525067,1873.58,349.84,0
525068,2041.31,349.84,0
525071,420.41,175.42,7.27e-8
525072,757.21,332.75,6.47e-23
525076,775.73,341.4,3.77e-19
525077,454.7,181.59,8.78e-9
525079,916,349.84,3.93e-23
525080,835.95,349.84,6.31e-25
525081,591.13,255.17,2.15e-16
525082,1032.2,349.84,9.66e-33
525083,676.18,294.9,1.07e-19
525085,707.12,309.35,3.58e-20
525086,720.88,315.78,1.06e-20
525087,1312.32,349.84,1.57e-34
525088,1027.73,349.84,9.51e-34
525090,572.53,246.48,1.11e-15
525091,669.56,291.8,9.72e-19
525092,1366.88,349.84,2.55e-43
525094,880.06,349.84,7.07e-24
525095,1134.79,349.84,9.63e-38
525096,1124.75,349.84,2.29e-37
525097,989.1,349.84,5.61e-29
525100,738.06,323.8,3.77e-22
525101,806.13,349.84,6.16e-24
525102,1034.45,349.84,1.79e-26
525103,1184.78,349.84,7.22e-37
525104,537.83,230.27,1.86e-11
525106,989.17,349.84,3.44e-25
525107,983.17,349.84,5.09e-25
525110,669.87,291.95,9.46e-19
525113,468.03,197.66,2.65e-9
525115,629.81,273.23,3.09e-17
525116,587.69,253.56,1.16e-15
525117,547.1,234.6,3.65e-14
525118,473.17,200.06,2.74e-10
525121,582.59,251.18,1.79e-15
525122,1081.5,349.84,9.53e-36
525123,767.39,337.5,1.69e-22
525124,720.46,315.58,2.55e-17
525125,741.85,325.57,1.65e-21
525126,801.13,349.84,1.66e-25
525127,1113.16,349.84,6.24e-37
525128,747.21,328.08,1.02e-21
525129,590.99,255.1,3.5e-15
525130,1081.5,349.84,9.53e-36
525131,866.33,349.84,7.61e-28
525132,925.51,349.84,2.13e-23
525133,961.85,349.84,3.65e-29
525134,727.69,318.96,1.6400000000000001e-22
525135,1229.28,349.84,2.59e-41
525137,402.41,167.01,5.4e-9
525138,400.18,142.69,1.18e-8
525139,679.69,296.54,7.75e-20
525140,445.14,167.59,2.88e-10
525141,493.65,209.63,3.2e-12
525142,539.08,230.86,1.81e-12
525145,746.14,327.57,3.62e-18
525149,707.78,309.65,1.08e-21
525155,1878.77,349.84,0
525157,1151.39,349.84,1.06e-35
525159,1315.33,349.84,4.86e-43
525162,1494.04,349.84,0
525164,1954.34,349.84,0
525165,1486.41,349.84,0
525166,579.87,249.91,5.82e-16
525170,1679.02,349.84,0
525177,618.29,267.85,5.28e-14
525179,348.8,123.21,1.49e-5
525181,523.27,215.59,3.37e-13
525182,480,90.27,2.06e-11
525183,895.73,349.84,6.57e-29
525184,803.9,349.84,9.82e-25
525185,511.26,217.86,7.4e-13
525186,661.18,287.89,4.13e-19
525187,549.77,235.85,2.91e-14
525191,755.58,331.98,4.85e-22
525192,1143.99,349.84,1.29e-29
525193,726.34,318.32,1.87e-22
525197,551.35,236.59,1.98e-15
525198,897.78,349.84,5.46e-28
525199,654.33,284.69,1.6e-19
525200,445.08,186.94,1.73e-10
525201,547.12,313.83,9.82e-13
525203,455.19,172.49,1.09e-8
525205,1053.47,349.84,5.12e-27
525206,951.46,349.84,8.24e-29
525207,956.61,349.84,5.51e-29
525209,969.92,349.84,2.38e-28
525210,607.86,262.98,4.89e-17
525211,1445.4,349.84,0
525212,910.9,349.84,1.85e-29
525213,984.92,349.84,3.62e-32
525214,1000.49,349.84,9.66e-33
525218,921.4,349.84,2.78e-23
525235,629.22,272.96,7.29e-18
525236,637.65,276.9,3.42e-18
525237,830.94,349.84,9.26e-25
525238,1066.9,349.84,5.53e-34
525239,610.81,264.36,1.59e-16
525240,637.65,276.9,3.42e-18
525241,768.45,338,2.29e-23
525242,1066.9,349.84,5.53e-34
525243,629.22,272.96,7.29e-18
525245,483.29,204.79,1.28e-10
525247,621.82,269.5,1.41e-17
525248,608.52,263.29,4.61e-17
525249,492.56,206.38,3.78e-12
525251,543.87,233.09,1.37e-14
525252,549.77,235.85,2.91e-14
525255,950.02,349.84,4.37e-24
525256,542.68,214.49,2.16e-11
525258,564.03,242.51,6.31e-16
525259,517.06,218.55,8.71e-11
525260,542.68,214.49,2.16e-11
525261,1043.82,349.84,2.41e-34
525262,938.94,349.84,8.96e-24
525263,1375.2,349.84,0
525266,589.2,254.26,4.47e-13
525267,481.4,191.15,1.46e-9
525269,437.79,169.66,3.16e-8
525270,365.36,93.88,2.66e-5
525271,481.4,191.15,1.46e-9
525272,454.69,173.63,1.27e-10
525273,417.93,124.94,3.07e-7
525274,528.66,223.68,5.46e-14
525276,477.74,197.31,4.65e-12
525277,441.06,168.9,2.68e-8
525278,716.71,313.83,1.54e-20
525281,773.65,340.43,4.43e-19
525286,632.78,274.62,2.39e-17
525290,620.02,268.66,7.21e-17
