molecule_id,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,aromatic_rings_count,fractioncsp3,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
57034,93.06,2,6,2,3,0.05,37,336.3,3.24,4,FALSE
57035,83.83,2,5,2,0,0.83,60,388.5,2.78,5,FALSE
57038,87.74,2,5,2,1,0.75,61,400.52,3.42,5,FALSE
57040,0,14,0,0,0,1,53,240.47,6.88,0,FALSE
57052,59.67,1,4,1,2,0.25,28,220.22,2.12,2,FALSE
57057,132.14,5,8,5,0,0.9,59,388.46,-0.54,3,TRUE
57058,72.83,1,5,1,0,0.65,44,306.36,1.75,3,FALSE
57061,177.14,3,10,7,1,0.46,39,332.26,-2.24,2,TRUE
57064,106.2,3,7,2,1,0.43,52,388.42,2.05,3,FALSE
57085,60.69,6,3,3,0,0.78,74,416.65,5.7,3,FALSE
57087,104.06,1,5,3,0,0.68,47,346.38,1.03,5,FALSE
57091,100.13,2,6,3,3,0.26,51,394.42,4.76,4,FALSE
57096,54.37,4,3,1,1,0.6,51,316.44,4.61,2,FALSE
57097,104.06,0,6,3,0,0.79,51,350.41,0.44,4,FALSE
57098,57.53,0,3,2,0,0.95,52,306.45,2.93,4,FALSE
57101,63.6,11,4,1,0,0.67,50,308.42,4.4,1,FALSE
57104,201.28,2,11,8,3,0.32,48,422.34,-0.72,4,TRUE
57106,177.14,3,10,7,1,0.46,39,332.26,-2.24,2,TRUE
57150,60.69,1,3,3,0,1,57,322.49,3.11,4,FALSE
57153,80.59,5,7,1,1,0.57,60,414.5,2.79,4,FALSE
57157,100.13,3,6,3,3,0.21,43,342.35,3.58,3,FALSE
57159,49.69,5,3,2,2,0.33,55,364.49,5.15,3,FALSE
57160,57.53,1,2,2,0,0.9,81,456.71,7.23,5,FALSE
57162,110.13,3,7,2,2,0.17,39,342.3,1.94,3,FALSE
57181,69.92,0,4,3,1,0.33,23,182.17,1.14,2,FALSE
57183,169.6,5,10,6,3,0.32,56,463.42,1.33,4,TRUE
57186,48.67,1,4,0,2,0.27,33,258.27,2.99,3,FALSE
57187,49.69,1,3,2,2,0.18,36,268.31,3.95,3,FALSE
57192,72.45,4,7,0,3,0.23,47,394.38,3.93,5,FALSE
57199,37.3,6,2,1,0,0.9,79,428.7,7.2,4,FALSE
66917,149.58,3,10,3,3,0.4,55,506.64,4.58,4,FALSE
57225,109.36,4,7,3,3,0.38,57,426.47,4.25,4,FALSE
57226,94.83,5,3,3,0,0.7,55,350.46,3.63,2,FALSE
57230,100.9,0,6,2,0,0.75,52,362.42,1.04,4,FALSE
57231,29.46,12,2,1,1,0.79,78,416.69,8.53,2,FALSE
57237,86.99,5,5,3,2,0.28,43,316.35,3.24,2,FALSE
57240,46.53,15,3,1,1,0.7,64,362.55,6.81,1,FALSE
57628,99.46,3,6,3,0,0.82,51,341.4,-0.07,3,FALSE
57244,69.67,5,5,0,0,0.35,52,414.89,4.61,3,FALSE
57248,57.15,2,5,1,2,0.29,38,300.31,2.42,4,FALSE
57249,46.53,7,3,1,0,0.47,42,274.36,2.61,0,FALSE
57250,516.25,26,35,14,3,0.56,172,1369.24,-4.96,8,TRUE
57252,671.28,29,43,22,0,0.89,271,1899.04,-6.28,13,TRUE
57259,100.13,3,6,3,3,0.24,55,420.46,5.27,4,FALSE
57263,52.6,1,4,0,0,0.64,56,358.48,4.65,3,FALSE
57264,113.29,2,7,3,0,0.7,55,380.44,1.21,3,FALSE
57269,40.16,4,5,0,2,0.36,52,470.78,5.5,4,FALSE
57270,98.36,4,7,2,3,0.17,41,344.32,2.9,3,FALSE
57274,26.3,3,2,0,1,0.36,27,178.23,2.65,1,FALSE
57276,111.13,5,6,4,3,0.35,55,398.46,4.28,3,FALSE
57284,101.15,1,5,5,0,1,59,354.49,1.05,4,FALSE
57285,179.28,5,11,6,3,0.32,55,462.41,0.41,4,TRUE
57292,60.69,4,3,3,0,0.85,74,416.65,5.54,4,FALSE
57303,178.53,11,11,7,2,0.5,67,496.51,-0.38,3,TRUE
57304,46.53,0,3,1,0,0.67,38,248.32,2.36,3,FALSE
57309,37.3,21,1,1,0,0.96,71,354.62,8.28,0,FALSE
57314,55.38,2,6,0,2,0.33,40,328.32,3.01,5,FALSE
57318,544.57,20,34,18,1,0.83,222,1573.69,-3.38,12,TRUE
57320,148.05,5,10,4,3,0.21,47,406.34,2.32,3,FALSE
57321,181.05,3,10,7,3,0.29,51,432.38,0.09,4,TRUE
57323,20.23,0,1,1,0,0.87,42,414.61,5.03,2,FALSE
57325,46.53,3,3,1,1,0.53,46,300.4,4.16,3,FALSE
57327,106.86,6,4,4,0,0.78,32,219.24,-1.04,0,FALSE
57328,65.74,2,5,0,2,0.37,44,328.36,3.38,3,FALSE
57329,139.84,5,8,6,2,0.3,50,390.39,0.45,3,TRUE
57333,40.46,1,2,2,0,1,32,172.27,1.7,1,FALSE
57335,29.46,23,2,1,1,0.81,89,460.79,10.46,1,FALSE
57338,159.05,4,10,5,2,0.55,54,424.4,-0.6,4,TRUE
57342,58.92,2,4,2,2,0.4,49,342.42,3.01,4,FALSE
57345,74.6,2,3,2,0,0.7,52,332.44,3.5,3,FALSE
57389,20.23,4,1,1,0,0.93,81,426.73,8.17,5,FALSE
57394,38.83,0,3,0,0,0.65,51,316.44,4.49,3,FALSE
57399,57.53,2,3,2,0,0.76,54,330.47,3.26,4,FALSE
57400,54.37,2,2,1,0,0.8,51,316.44,4.22,4,FALSE
57401,40.46,2,2,2,0,0.8,54,304.47,4.08,3,FALSE
57402,104.06,0,6,3,0,0.79,51,350.41,0.44,4,FALSE
57404,44.12,1,4,0,3,0.2,31,252.27,2.78,4,FALSE
57408,26.3,2,2,0,1,0.57,51,312.45,5.41,3,FALSE
57415,46.53,2,3,1,0,0.9,84,470.74,7.47,5,FALSE
57426,118.59,4,8,3,3,0.17,42,360.32,2.6,3,FALSE
57497,36.92,4,4,0,2,0.4,48,328.41,4.31,3,FALSE
57430,63.6,16,4,1,0,0.9,59,328.49,4.57,0,FALSE
57432,87.36,5,7,1,3,0.21,44,358.35,3.2,3,FALSE
57438,96.59,6,8,1,3,0.25,48,388.37,3.21,3,FALSE
57442,170.05,6,10,6,2,0.48,57,438.43,-0.18,3,TRUE
57443,79.15,4,5,3,3,0.1,43,338.36,4.15,3,FALSE
57446,77.76,5,4,3,2,0.32,57,392.5,5.71,3,FALSE
57448,22.12,2,2,0,3,0.06,31,235.29,3.91,3,FALSE
57450,46.53,0,3,1,0,0.67,38,248.32,2.21,3,FALSE
57459,58.92,4,4,2,3,0.1,42,322.36,4.45,3,FALSE
57464,57.9,3,5,0,3,0.19,35,286.28,2.97,3,FALSE
57465,29.46,5,2,1,2,0.11,38,266.34,4.38,2,FALSE
57472,137.43,3,8,4,3,0.11,40,358.3,1.86,3,FALSE
57476,190.28,4,11,7,3,0.29,52,448.38,-0.24,4,TRUE
57477,160.07,5,9,7,2,0.3,51,406.39,0.15,3,TRUE
57493,93.06,3,6,2,2,0.22,40,328.32,2.74,3,FALSE
57500,55.76,0,4,1,3,0.05,36,316.31,3.92,5,FALSE
57512,75.61,7,7,1,2,0.46,55,402.44,2.81,4,FALSE
57516,113.29,3,7,3,0,0.75,67,436.55,2.43,3,FALSE
57519,94.45,4,7,2,3,0.3,60,462.5,4.66,5,FALSE
57520,27.69,3,3,0,2,0.29,38,270.33,3.48,3,FALSE
57522,144.14,5,10,4,0,0.71,51,388.37,-1.62,3,TRUE
57530,49.83,1,3,1,0,0.92,36,224.3,1.53,3,FALSE
57533,124.29,4,7,4,3,0.13,48,406.39,3.64,4,FALSE
57534,0,4,0,0,0,0.7,52,272.48,6.31,2,FALSE
57535,66.76,1,4,2,0,0.87,61,374.52,3.6,5,FALSE
57536,58.92,2,4,2,2,0.4,49,342.42,3.01,4,FALSE
57537,57.53,2,5,0,2,0.29,39,299.33,2.71,3,FALSE
57538,96.97,1,6,2,3,0.07,31,286.24,2.14,3,FALSE
57540,77.38,5,6,2,2,0.43,53,374.43,4.21,3,FALSE
57544,17.07,1,1,0,1,0.65,49,284.44,5.48,3,FALSE
57567,190.28,4,11,7,3,0.29,52,448.38,-0.24,4,TRUE
57568,20.23,4,1,1,0,0.8,55,290.49,5.5,2,FALSE
57577,68.15,3,5,2,2,0.33,48,354.4,3.62,4,FALSE
57580,55.38,4,6,0,2,0.43,49,370.4,3.51,5,FALSE
57582,79.65,1,5,2,2,0.29,37,297.31,2.09,4,FALSE
57583,35.53,4,3,0,0,0.4,36,246.31,3.26,2,FALSE
57610,86.99,6,5,3,2,0.4,60,410.51,5.2,3,FALSE
57613,128.59,1,9,2,0,0.71,46,368.34,-0.67,4,FALSE
57616,20.23,1,2,1,1,0.23,25,248.73,2.07,1,FALSE
57617,115.06,2,5,4,1,0.6,52,362.42,2.99,3,FALSE
57653,202.05,8,9,7,2,0.15,49,434.35,0.58,2,FALSE
57658,56.51,3,4,0,1,0.6,48,328.41,3.71,4,FALSE
57662,164.75,4,8,6,1,0.38,43,354.31,-0.65,2,FALSE
57668,100.9,4,6,2,2,0.39,64,462.54,5.31,4,FALSE
57706,128.98,5,8,4,0,0.84,57,386.44,-0.34,3,TRUE
57707,40.46,0,2,2,0,1,53,292.46,3.75,4,FALSE
57710,98.36,4,7,2,3,0.17,41,344.32,2.9,3,FALSE
57712,66.38,3,6,1,2,0.4,46,356.37,3.2,5,FALSE
57716,0,1,0,0,0,0.8,26,136.24,3,2,FALSE
57721,97.99,3,4,4,0,0.75,17,136.1,-2.21,0,FALSE
57722,20.23,0,1,1,0,0.93,81,426.73,8.17,5,FALSE
57725,291.82,9,17,10,0,0.92,139,927.09,0.87,8,TRUE
57727,114.73,6,8,1,1,0.48,61,476.55,1.01,4,FALSE
57736,12.89,4,1,0,2,0.36,32,199.3,3.97,2,FALSE
57741,142.75,1,9,4,0,0.79,52,396.39,-1.59,5,FALSE
57752,26.3,0,2,0,1,0.22,19,148.16,1.54,2,FALSE
57753,50.44,3,3,1,1,0.75,53,318.46,4.38,3,FALSE
57754,64.6,1,2,2,5,0.05,37,311.34,4.84,5,FALSE
57755,17.07,2,1,0,1,0.4,34,214.31,3.89,2,FALSE
57756,57.53,2,2,2,0,0.8,42,252.35,2.84,2,FALSE
57768,74.6,2,4,2,0,0.71,53,344.45,2.44,4,FALSE
57769,59.67,2,4,1,2,0.32,43,312.37,4.15,3,FALSE
57773,68.65,0,5,1,3,0.06,31,291.26,2.88,5,FALSE
57777,82.06,1,6,1,0,0.64,58,390.48,3,3,FALSE
57779,72.06,3,5,2,3,0.13,35,286.28,3.53,3,FALSE
57781,57.53,5,3,2,0,0.82,75,428.66,5.85,4,FALSE
57784,64.99,3,5,1,1,0.42,44,328.36,2.9,4,FALSE
57789,38.69,3,3,1,2,0.33,60,402.53,6.94,4,FALSE
57793,123.27,5,7,2,3,0.38,76,570.64,5.42,6,FALSE
57795,104.06,1,6,3,0,0.82,60,392.49,1.61,4,FALSE
57797,54.37,0,3,1,0,0.8,51,316.44,3.3,4,FALSE
57801,66.76,22,4,2,1,0.76,83,462.72,9.08,1,FALSE
57803,54.37,0,3,1,0,0.8,51,316.44,3.3,4,FALSE
57805,68.09,2,4,3,0,0.82,53,309.45,1.88,2,FALSE
57806,107.59,5,8,2,3,0.21,45,374.35,2.91,3,FALSE
57808,41.93,4,4,1,2,0.37,46,313.4,3.18,3,FALSE
57809,18.46,3,2,0,2,0.08,27,515.82,6.54,2,FALSE
57813,85.22,5,6,2,2,0.28,42,330.34,2.43,3,FALSE
57818,0,16,0,0,0,1,56,288.95,7.49,0,FALSE
57820,55.38,6,6,0,2,0.46,54,386.44,3.8,4,FALSE
57824,48.42,0,3,0,4,0,26,236.23,1.68,4,FALSE
57826,40.46,0,2,2,0,1,43,238.37,2.72,3,FALSE
57833,40.46,14,2,2,1,0.73,62,334.54,7.04,1,FALSE
57835,98.36,4,7,2,3,0.17,41,344.32,2.9,3,FALSE
57839,75.99,0,5,2,0,0.85,53,348.44,2.02,5,FALSE
57840,37.3,4,1,1,0,0.84,53,292.46,5.29,2,FALSE
57847,43.37,1,3,0,0,0.7,49,314.43,3.63,5,FALSE
57848,37.3,2,1,1,1,0.65,50,300.44,4.9,3,FALSE
57849,190.28,3,11,7,3,0.29,52,448.38,0.49,4,TRUE
57851,55.76,13,4,1,0,0.85,60,340.5,4.89,1,FALSE
57854,70.67,1,4,2,1,0.17,16,142.11,-0.16,1,FALSE
57884,46.53,0,3,1,0,0.65,53,352.9,4.69,2,FALSE
57887,66.76,6,4,2,2,0.32,57,392.5,6.04,3,FALSE
57890,74.6,2,4,2,3,0.05,39,330.34,3.46,4,FALSE
57891,59.95,3,5,2,2,0.37,45,327.38,2.83,4,FALSE
57893,20.23,6,1,1,0,0.93,80,414.72,8.02,4,FALSE
57896,47.92,4,4,1,2,0.3,46,326.39,4.68,3,FALSE
57898,190.28,4,11,7,3,0.29,52,448.38,-0.24,4,TRUE
57905,69.92,3,4,3,3,0.18,46,348.4,4.17,4,FALSE
57909,66.76,6,4,2,2,0.24,55,390.48,5.9,3,FALSE
57911,116.45,8,7,4,2,0.42,65,456.54,4.8,3,FALSE
57917,191.6,4,10,8,3,0.29,53,449.39,0.38,4,TRUE
57918,50.44,1,3,1,3,0.19,33,254.28,4.11,3,FALSE
57921,56.25,0,2,3,2,0.65,57,353.51,4.31,5,FALSE
57925,136.68,5,7,5,1,0.4,41,326.3,-1.07,2,TRUE
57931,78.13,1,6,1,3,0.38,54,408.45,4.95,5,FALSE
57934,68.29,1,5,1,0,0.65,53,348.44,3.96,3,FALSE
57935,40.46,1,2,2,1,0.7,52,302.46,4.52,3,FALSE
57943,37.79,0,2,1,4,0.06,31,248.28,3.17,4,FALSE
57946,159.57,7,11,1,2,0.47,91,674.74,4.45,5,FALSE
57948,32.76,0,2,1,0,0.87,41,428.59,4.36,3,FALSE
57949,63.6,1,3,1,0,0.79,47,316.4,3.17,5,FALSE
57952,90.9,1,5,3,1,0.79,63,402.53,3.21,5,FALSE
57955,230.74,4,13,9,3,0.29,54,480.38,-0.83,4,TRUE
57957,144.14,5,10,4,0,0.71,51,388.37,-1.62,3,TRUE
57961,69.67,2,5,0,0,0.77,57,374.48,3.6,4,FALSE
57964,63.6,12,4,1,0,0.62,57,348.48,4.43,1,FALSE
57965,164.75,4,8,6,1,0.38,43,354.31,-0.65,2,FALSE
57966,70.67,1,4,2,1,0.71,60,384.52,4.16,5,FALSE
58018,33.37,0,2,1,1,0.8,52,302.46,4.91,4,FALSE
58030,94.45,4,7,2,2,0.27,38,308.29,2.06,2,FALSE
58032,57.53,1,3,2,2,0.15,28,216.24,2.76,2,FALSE
58099,29.46,9,2,1,1,0.56,69,396.62,7.98,2,FALSE
58108,89.13,3,6,2,3,0.12,37,314.29,2.89,3,FALSE
58125,17.07,7,1,0,0,0.7,29,154.25,3.1,0,FALSE
58136,54.37,1,3,1,0,0.7,51,316.44,4.53,3,FALSE
58204,0,4,0,0,0,0.4,26,136.24,3.48,0,FALSE
58261,20.23,5,1,1,0,0.86,78,412.7,7.8,4,FALSE
58297,63.22,3,6,0,2,0.35,51,394.42,3.7,5,FALSE
58305,40.8,2,4,0,4,0.19,44,348.38,3.72,5,FALSE
58322,57.53,14,2,2,1,0.67,58,334.5,6.33,1,FALSE
58360,96.22,4,6,3,2,0.29,49,370.4,4.03,3,FALSE
58377,58.92,4,6,0,3,0.28,43,329.35,2.73,3,FALSE
58437,20.23,1,1,1,0,0.8,29,154.25,2.36,1,FALSE
58507,69.92,3,6,1,3,0.24,40,315.32,2.42,3,FALSE
58511,17.07,9,1,0,0,0.92,37,184.32,4.11,0,FALSE
58556,70.67,5,3,2,1,0.65,52,332.44,4.05,3,FALSE
58690,74.6,12,4,2,0,0.68,53,322.44,5.09,1,FALSE
58730,20.23,9,1,1,0,1,36,172.31,3.51,0,FALSE
58752,155.3,8,11,3,1,0.75,96,668.78,1.38,8,FALSE
58782,49.81,2,5,0,4,0.15,40,333.34,4.29,5,FALSE
58805,46.53,9,3,1,2,0.35,47,312.41,4.32,2,FALSE
58821,47.28,0,3,0,3,0.11,33,276.29,4.1,4,FALSE
58824,23.55,0,2,0,0,0.8,40,246.35,1.65,4,FALSE
58855,32.76,8,2,1,0,0.65,43,260.38,3.06,1,FALSE
58859,83.83,7,4,2,0,0.82,90,528.77,7.33,4,FALSE
58863,75.99,2,5,2,0,0.55,30,226.23,-0.05,2,FALSE
58871,52.19,7,6,1,2,0.59,75,480.65,4.94,5,FALSE
58885,52.04,3,2,2,0,1,18,88.15,-0.32,0,FALSE
58888,72.02,1,3,2,1,0.25,14,114.1,-0.57,1,FALSE
58896,17.07,4,1,0,0,0.86,22,114.19,2.16,0,FALSE
58902,47.92,4,4,1,2,0.3,46,326.39,4.68,3,FALSE
58915,109.32,2,4,3,1,0.2,17,158.11,-0.95,1,FALSE
58917,155.52,0,8,6,8,0.07,54,504.45,5.08,8,FALSE
