molecule_id,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
526096,5.59e-9,55,320.47,3.15,4,FALSE
526099,2.5e-12,80,444.7,7.41,4,FALSE
526100,1.97e-27,126,825,3.81,5,TRUE
526101,5.66e-33,98,736.92,-1.38,5,FALSE
526102,8.77e-27,131,867.04,4.38,5,TRUE
526105,2.24e-15,75,484.63,5.27,2,FALSE
236759,5e-10,55,372.46,4.14,2,FALSE
526550,4.19e-11,57,348.48,3.03,3,FALSE
526106,1.84e-14,88,587.64,6.23,5,FALSE
526107,1.14e-35,162,885.37,10.09,1,TRUE
526109,8.35e-35,156,857.31,9.31,1,TRUE
526110,2.07e-16,89,603.64,5.2,5,FALSE
526113,1e-34,148,831.23,7.11,1,TRUE
526114,7.85e-44,175,1021.42,5.86,2,TRUE
526115,3.7e-35,151,845.26,7.5,1,TRUE
526116,1.3699999999999998e-35,154,859.28,7.89,1,TRUE
526117,4.2e-45,184,1063.51,7.03,2,TRUE
526118,4.2e-45,184,1063.51,7.03,2,TRUE
526120,4.9e-32,142,790.18,7.11,1,TRUE
526124,1.31e-34,160,874.34,9.45,1,TRUE
526126,1.4e-45,187,1077.53,7.42,2,TRUE
526127,3.52e-34,157,860.31,9.06,1,TRUE
526128,1.7e-41,175,1008.43,6.5,2,TRUE
526129,1.83e-32,145,804.2,7.5,1,TRUE
526130,2.55e-33,151,832.26,8.28,1,TRUE
236769,4.03e-22,97,614.89,8.9,4,FALSE
243667,1.6e-20,68,479.58,3.19,5,FALSE
526131,1.83e-32,145,804.2,7.5,1,TRUE
526132,9.62e-9,69,460.57,4.93,2,FALSE
236775,1.56e-15,74,450.62,3.55,4,FALSE
236776,5.24e-7,59,376.49,4.48,1,FALSE
526135,9.81e-40,163,952.32,4.94,2,TRUE
526136,5.03e-12,74,412.66,7.07,3,FALSE
526137,1.07e-10,72,410.64,7.13,3,FALSE
526138,2.24e-8,62,416.51,4.57,2,FALSE
526139,6.38e-13,73,426.64,6.09,4,FALSE
526140,1.02e-15,86,476.74,5.78,3,FALSE
526141,2.82e-9,69,434.57,4.44,4,FALSE
