molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable
85661,8,7,0.8400000000000001,TRUE
61548,2_1,7,1.908,TRUE
59756,3,7,1.7999999999999998,TRUE
49333,3,7,2.232,TRUE
90961,3,7,1.98,TRUE
78312,3,7,2.496,TRUE
50095,3,7,0.732,TRUE
126882,3,7,2.76,TRUE
95033,3,7,1.92,TRUE
419766,3,7,1.092,TRUE
421528,3,7,3.732,TRUE
422035,3,7,1.1760000000000002,TRUE
422125,3,7,1.116,TRUE
422218,3,7,136.8,TRUE
78442,3,7,2.088,TRUE
78445,3,7,2.088,TRUE
67195,3,7,1.344,TRUE
93328,3,7,0.636,TRUE
93355,3,7,1.2120000000000002,TRUE
78679,3,7,3.24,TRUE
78728,5_2,2_1,0.701,TRUE
423736,3,7,51.91199999999999,TRUE
169641,3,7,2.1959999999999997,TRUE
79008,3,7,3.936,TRUE
79121,3,7,2.568,TRUE
60345,3,7,3.214,TRUE
79218,3,7,0.6000000000000001,TRUE
79261,3,7,1.284,TRUE
126947,3,7,1.272,TRUE
79427,3,7,16.776,TRUE
79414,5_3,5_1,0.672,TRUE
79603,3,7,1.488,TRUE
424561,3,7,7.524,TRUE
424574,3,7,14.184,TRUE
79683,5_3,5_1,0.612,TRUE
85779,3,7,0.936,TRUE
148171,3,7,6.228,TRUE
80167,3,7,14.88,TRUE
80238,3,7,1.98,TRUE
80478,3,7,12.54,TRUE
80566,3,7,1.488,TRUE
80664,3,7,1.602,TRUE
80865,2_1,7,0.8519999999999999,TRUE
80996,3,7,1.14,TRUE
80967,5_3,4,0.528,TRUE
426227,1_2,4,0.528,TRUE
81203,2_1,7,0.8519999999999999,TRUE
81511,3,7,0.8639999999999999,TRUE
81624,3,7,39.084,TRUE
81725,3,7,4.0200000000000005,TRUE
81790,3,7,2.1239999999999997,TRUE
81859,3,7,0.528,TRUE
101009,3,7,0.972,TRUE
101008,3,7,4.404,TRUE
429759,3,7,83.784,TRUE
429775,3,7,0.948,TRUE
429982,3,7,1.308,TRUE
82066,3,7,2.4000000000000004,TRUE
82045,3,7,3.516,TRUE
82093,2_1,7,1.092,TRUE
82061,3,7,0.612,TRUE
82140,3,7,0.936,TRUE
532852,3,7,5.712,TRUE
665299,3,7,3.012,TRUE
533879,3,7,0.768,TRUE
665335,3,7,1.62,TRUE
509147,3,7,2.772,TRUE
534119,3,7,8.136000000000001,TRUE
527230,3,7,0.922,TRUE
57073,3,7,3.24,TRUE
527343,3,7,8.856,TRUE
22220,3,7,5.148,TRUE
22222,3,7,5.148,TRUE
527769,3,7,0.636,TRUE
57173,3,7,7.368,TRUE
528227,3,7,2.52,TRUE
528606,3,7,0.784,TRUE
528688,5_3,5_1,0.924,TRUE
18170,3,7,1.488,TRUE
18172,3,7,4.332,TRUE
58644,2_1,7,0.8519999999999999,TRUE
18212,3,7,12.732,TRUE
61639,3,7,4.584,TRUE
61641,3,7,7.428,TRUE
23856,3,7,1.308,TRUE
62479,3,7,2.12,TRUE
62584,3,7,0.638,TRUE
24990,3,7,2.976,TRUE
63606,3,7,5.172,TRUE
63768,3,7,1.26,TRUE
63876,3,7,1.596,TRUE
25953,3,7,1.224,TRUE
530511,3,7,0.594,TRUE
63916,3,7,0.756,TRUE
534796,5_3,5_1,0.684,TRUE
26739,3,7,2.676,TRUE
233493,2_1,7,1.584,TRUE
26953,3,7,0.612,TRUE
531180,5_3,5_1,0.708,TRUE
27071,3,7,1.452,TRUE
27192,3,7,0.636,TRUE
531872,5_3,5_1,0.6960000000000001,TRUE
67963,2_1,7,1.48,TRUE
68057,3,7,6.5280000000000005,TRUE
68157,3,7,26.616,TRUE
68160,5_3,4,0.552,TRUE
68242,3,7,8.184000000000001,TRUE
68244,3,7,2.28,TRUE
68282,3,7,3.696,TRUE
576300,3,7,4.08,TRUE
535029,2_1,7,1.422,TRUE
535505,3,7,0.636,TRUE
666012,1_2,4,1.092,TRUE
658544,3,7,1.164,TRUE
529268,3,7,1.56,TRUE
36802,3,7,10.032,TRUE
548010,3,7,5.04,TRUE
674562,3,7,1.332,TRUE
665,3,7,14.412,TRUE
3908,3,7,5.34,TRUE
1308,3,7,1.224,TRUE
1312,3,7,1.224,TRUE
1381,3,7,0.8999999999999999,TRUE
1396,3,7,1.224,TRUE
1520,3,7,1.224,TRUE
1838,3,7,0.936,TRUE
1937,3,7,22.008000000000003,TRUE
1944,3,7,2.3040000000000003,TRUE
1946,3,7,2.3040000000000003,TRUE
2044,3,7,124.668,TRUE
44140,2_1,7,0.756,TRUE
30019,3,7,0.552,TRUE
2607,3,7,14.64,TRUE
2690,3,7,2.4240000000000004,TRUE
3212,3,7,0.792,TRUE
19371,3,7,1.332,TRUE
3302,3,7,1.2000000000000002,TRUE
3344,3,7,2.656,TRUE
3459,3,7,3.9,TRUE
3469,3,7,2.94,TRUE
3473,3,7,3.996,TRUE
3474,3,7,3.192,TRUE
3479,3,7,1.1880000000000002,TRUE
3480,3,7,0.636,TRUE
3482,3,7,1.464,TRUE
3483,3,7,3.048,TRUE
3484,3,7,2.481,TRUE
3585,3,7,2.508,TRUE
3590,3,7,11.604,TRUE
3670,3,7,0.732,TRUE
3673,3,7,0.636,TRUE
3682,3,7,1.512,TRUE
3684,3,7,1.512,TRUE
3720,3,7,1.392,TRUE
3737,3,7,0.972,TRUE
3740,3,7,0.972,TRUE
4993,3,7,15.468,TRUE
3851,3,7,3.792,TRUE
3904,3,7,0.5640000000000001,TRUE
4035,3,7,1.812,TRUE
3973,3,7,2.052,TRUE
